SNo,State,Abr.,Date of statehood,Capital,Capital since,Land area (mi²),Most populous city?,Municipal population,Metropolitan population,Notes
1,Alabama,AL,1819,Montgomery,1846,155.4,No,205764,374536,Birmingham is the state's largest city
2,Alaska,AK,1959,Juneau,1906,2716.7,No,31275,,Juneau is the largest capital by land area. Anchorage is the state's largest city.
3,Arizona,AZ,1912,Phoenix,1889,474.9,Yes,1445632,4192887,Phoenix is the most populous U.S. state capital and only capital with more than 1 million citizens
4,Arkansas,AR,1836,Little Rock,1821,116.2,Yes,193524,877091,
5,California,CA,1850,Sacramento,1854,97.2,No,466488,2527123,The Supreme Court of California is headquartered in San Francisco. Los Angeles is the state's largest city.
6,Colorado,CO,1876,Denver,1867,153.4,Yes,600158,2552195,Denver was called Denver City until 1882.
7,Connecticut,CT,1788,Hartford,1875,17.3,No,124512,1212381,"Bridgeport is the state's largest city, but Hartford is the largest metro area."
8,Delaware,DE,1787,Dover,1777,22.4,No,36047,162310,Longest-serving capital in terms of statehood. Wilmington is the state's largest city.
9,Florida,FL,1845,Tallahassee,1824,95.7,No,181412,367413,"Jacksonville is the largest city, and Miami has the largest metro area."
10,Georgia,GA,1788,Atlanta,1868,131.7,Yes,420003,5268860,Atlanta is the state capital with the most populous metro area in the U.S.
11,Hawaii,HI,1959,Honolulu,1845,85.7,Yes,337256,953207,
12,Idaho,ID,1890,Boise,1865,63.8,Yes,205671,616561,
13,Illinois,IL,1818,Springfield,1837,54,No,116250,208182,Chicago is the state's largest city.
14,Indiana,IN,1816,Indianapolis,1825,361.5,Yes,829718,1756221,Indianapolis is the second largest city in the Midwest.
15,Iowa,IA,1846,Des Moines,1857,75.8,Yes,203433,580255,
16,Kansas,KS,1861,Topeka,1856,56,No,127473,230824,Wichita is the state's largest city.
17,Kentucky,KY,1792,Frankfort,1792,14.7,No,25527,70758,Louisville is the state's largest city. Frankfort ranks as the twelfth most populous city in the state.
18,Louisiana,LA,1812,Baton Rouge,1880,76.8,No,229553,802484,New Orleans is the state's largest city and home to the Louisiana Supreme Court. Louisiana is home to the tallest state capitol building.
19,Maine,ME,1820,Augusta,1832,55.4,No,19136,117114,"Augusta was officially made the capital 1827, but the legislature did not sit there until 1832. Portland is the state's largest city."
20,Maryland,MD,1788,Annapolis,1694,6.73,No,38394,,Annapolis is the third-longest serving capital in the United States after Santa Fe and Boston. Its capitol building is the oldest still in use. It is also the smallest capital by land area. Baltimore is the state's largest city.
21,Massachusetts,MA,1788,Boston,1630,48.4,Yes,617594,4522858,"Boston is the longest continuously serving capital in the United States. The Boston-Worcester-Manchester Combined Statistical Area encompasses the state capitals of Massachusetts, New Hampshire, and Rhode Island."
22,Michigan,MI,1837,Lansing,1847,35,No,114297,464036,Lansing is the only state capital that is not also the county seat of the county in which it is situated.[citation needed] Detroit is the state's largest city.
23,Minnesota,MN,1858,Saint Paul,1849,52.8,No,285068,3502891,Minneapolis is the state's largest city; it and Saint Paul form the core of the state's largest metropolitan area.
24,Mississippi,MS,1817,Jackson,1821,104.9,Yes,173514,539057,
25,Missouri,MO,1821,Jefferson City,1826,27.3,No,43079,149807,"Kansas City is the state's largest city, and Greater St. Louis is the state's largest metropolitan area."
26,Montana,MT,1889,Helena,1875,14,No,28190,74801,Billings is the state's largest city.
27,Nebraska,NE,1867,Lincoln,1867,74.6,No,258379,302157,Omaha is the state's largest city.
28,Nevada,NV,1864,Carson City,1861,143.4,No,55274,,Las Vegas is the state's largest city.
29,New Hampshire,NH,1788,Concord,1808,64.3,No,42695,,Manchester is the state's largest city.
30,New Jersey,NJ,1787,Trenton,1784,7.66,No,84913,366513,Newark is the state's largest city. Trenton served as the US capital for a short period in the late 18th century.
31,New Mexico,NM,1912,Santa Fe,1610,37.3,No,75764,183732,Santa Fe is the longest serving capital in the United States. El Paso del Norte served as the capital of the Santa Fe de Nuevo México colony-in-exile during the Pueblo Revolt of 1680–1692. Santa Fe has the highest elevation of any state capital. Albuquerque is the state's largest city.
32,New York,NY,1788,Albany,1797,21.4,No,97856,857592,New York City is the state's largest city.
33,North Carolina,NC,1789,Raleigh,1792,114.6,No,403892,1130490,Charlotte is the state's largest city.
34,North Dakota,ND,1889,Bismarck,1883,26.9,No,61272,108779,Fargo is the state's largest city.
35,Ohio,OH,1803,Columbus,1816,210.3,Yes,787033,1836536,"Columbus is Ohio's largest city, and the fourth-largest state capital, but the Cincinnati and Cleveland metropolitan areas are both larger."
36,Oklahoma,OK,1907,Oklahoma City,1910,607,Yes,580000,1252987,Oklahoma City is the shortest serving current state capital in the United States.
37,Oregon,OR,1859,Salem,1855,45.7,No,154637,390738,Portland is the state's largest city.
38,Pennsylvania,PA,1787,Harrisburg,1812,8.11,No,49528,647390,Philadelphia is the state's largest city.
39,Rhode Island,RI,1790,Providence,1900,18.5,Yes,178042,1630956,"Providence also served as the capital 1636–1686 and 1689–1776. It was one of five co-capitals 1776–1853, and one of two co-capitals 1853–1900."
40,South Carolina,SC,1788,Columbia,1786,125.2,Yes,131686,913797,Columbia is the largest city in South Carolina but second largest metro area and combined statistical area behind Greenville.
41,South Dakota,SD,1889,Pierre,1889,13,No,13646,,Sioux Falls is the state's largest city.
42,Tennessee,TN,1796,Nashville,1826,473.3,No,635710,1582264,"Memphis is the state's largest city, and Nashville is the largest metro area."
43,Texas,TX,1845,Austin,1839,251.5,No,842592,1716291,"Houston is the state's largest city and the previous capital, and Dallas–Fort Worth is the largest metro area. Austin is the largest state capital that is not also the state's largest city. Texas would have the tallest state capitol building if all of the underground work were above ground."
44,Utah,UT,1896,Salt Lake City,1858,109.1,Yes,186440,1124197,
45,Vermont,VT,1791,Montpelier,1805,10.2,No,7855,,Montpelier is the least populous U.S. state capital. Burlington is the state's largest city.
46,Virginia,VA,1788,Richmond,1780,60.1,No,204214,1231675,"Virginia Beach is the state's largest city, and Northern Virginia is the state's largest metro area."
47,Washington,WA,1889,Olympia,1853,16.7,No,46478,234670,Seattle is the state's largest city.
48,West Virginia,WV,1863,Charleston,1885,31.6,Yes,51400,304214,
49,Wisconsin,WI,1848,Madison,1838,68.7,No,233209,561505,Milwaukee is the state's largest city.
50,Wyoming,WY,1890,Cheyenne,1869,21.1,Yes,59466,91738,
,,,,,,,,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,,,,,,,,
,,,,,,,,,,
Original source : en.wikipedia.org/wiki/List_of_capitals_in_the_United_States,,,,,,,,,,
